Percentile (%),CEPTA SINR (dB),WF-PA SINR (dB)
1,-12.798926851496848,-25.80922680813666
5,-2.533271901588821,-15.543571858228631
10,1.0818673583162075,-2.2298074433807766
25,6.364362615408506,6.317175414749247
50,12.031319035924422,12.631753980398983
75,17.93521226890681,18.675896871824104
90,23.26455479003419,24.043964787193655
95,26.389456656652193,27.185886576647313
